Date,Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2007-11-23,Canberra,12.8,18.5,25.8,ESE,28.0,S,SE,13.0,13.0,91.0,79.0,1014.0,1014.9,8.0,8.0,14.0,16.8,Yes,No
2007-11-24,Canberra,12.0,24.3,0.4,NNE,26.0,WSW,NE,6.0,9.0,74.0,57.0,1020.7,1019.2,7.0,5.0,17.8,22.8,No,No
2007-11-25,Canberra,15.4,28.4,0.0,ENE,33.0,SSE,NE,9.0,15.0,85.0,31.0,1022.4,1018.6,8.0,2.0,16.8,27.3,No,No
2007-11-26,Canberra,15.6,26.9,0.0,E,41.0,E,E,6.0,22.0,65.0,48.0,1019.7,1016.5,2.0,4.0,19.8,25.1,No,No
2007-11-27,Canberra,13.3,22.2,0.2,ENE,39.0,E,E,20.0,17.0,70.0,55.0,1021.0,1018.6,7.0,7.0,16.5,21.2,No,No
2007-11-28,Canberra,12.9,28.0,0.0,S,52.0,S,NNE,6.0,11.0,61.0,31.0,1019.2,1014.8,5.0,7.0,18.8,26.7,No,No
2007-11-29,Canberra,15.1,24.3,0.0,SE,39.0,SE,SE,7.0,17.0,69.0,80.0,1019.0,1017.1,7.0,7.0,18.9,19.7,No,No
2007-11-30,Canberra,13.6,24.1,0.4,NNW,30.0,SSW,S,6.0,6.0,83.0,49.0,1017.2,1013.3,8.0,7.0,17.3,23.2,No,Yes
2007-12-01,Canberra,15.1,20.4,22.6,SSE,41.0,E,S,6.0,20.0,82.0,90.0,1015.0,1014.1,8.0,8.0,17.0,16.3,Yes,Yes
2007-12-02,Canberra,11.6,26.3,4.2,NNE,41.0,E,SW,6.0,9.0,66.0,46.0,1013.9,1009.5,2.0,2.0,16.7,25.2,Yes,No
2007-12-03,Canberra,16.6,24.2,0.2,NW,50.0,WNW,NW,13.0,35.0,72.0,60.0,1007.9,1004.6,7.0,7.0,20.5,19.9,No,Yes
2007-12-04,Canberra,13.3,26.5,6.6,NW,50.0,NW,WNW,20.0,26.0,74.0,40.0,1007.3,1006.3,5.0,2.0,18.8,25.1,Yes,No
2007-12-05,Canberra,14.5,21.8,0.0,ENE,43.0,ESE,E,11.0,30.0,69.0,63.0,1015.0,1015.3,7.0,1.0,18.6,20.5,No,No
2007-12-06,Canberra,16.3,26.8,0.0,ENE,39.0,ESE,ESE,13.0,9.0,78.0,54.0,1018.8,1016.1,8.0,7.0,18.6,24.5,No,No
2007-12-07,Canberra,17.2,25.8,0.0,SW,41.0,NW,N,6.0,6.0,70.0,74.0,1014.5,1011.5,6.0,7.0,21.5,22.6,No,Yes
2007-12-08,Canberra,16.5,28.2,4.0,NE,39.0,E,N,7.0,13.0,76.0,42.0,1014.8,1011.4,8.0,1.0,18.0,26.3,Yes,No
2007-12-09,Canberra,15.0,29.4,0.0,NW,43.0,N,W,9.0,24.0,78.0,24.0,1010.8,1008.5,7.0,7.0,20.6,28.6,No,No
2007-12-10,Canberra,14.9,24.8,0.0,NNW,35.0,NNE,WNW,11.0,6.0,58.0,37.0,1011.7,1010.4,7.0,7.0,19.3,22.9,No,No
2007-12-11,Canberra,11.8,18.5,0.6,ENE,35.0,ESE,E,9.0,15.0,60.0,63.0,1018.0,1017.4,8.0,6.0,13.8,16.4,No,No
2007-12-12,Canberra,11.7,21.5,0.0,ENE,41.0,ESE,E,15.0,24.0,66.0,51.0,1021.1,1019.6,7.0,5.0,15.7,19.4,No,No
2007-12-13,Canberra,9.6,20.3,0.0,SE,39.0,ESE,E,22.0,20.0,70.0,49.0,1021.9,1019.3,7.0,7.0,15.8,19.2,No,No
2007-12-14,Canberra,8.9,27.1,0.0,E,35.0,NNW,N,6.0,11.0,63.0,37.0,1018.1,1012.5,1.0,2.0,15.8,25.0,No,No
2007-12-15,Canberra,10.1,29.9,0.0,E,41.0,SE,WNW,2.0,13.0,63.0,36.0,1012.6,1010.2,1.0,8.0,17.4,29.1,No,Yes
2007-12-16,Canberra,15.5,21.1,5.4,S,31.0,SSE,NE,6.0,7.0,93.0,86.0,1010.1,1008.6,8.0,8.0,16.6,20.0,Yes,Yes
2007-12-17,Canberra,10.8,21.7,1.4,ESE,48.0,SSE,ESE,13.0,20.0,59.0,40.0,1017.6,1016.8,1.0,4.0,15.3,20.8,Yes,No
2007-12-18,Canberra,7.5,20.9,0.0,ENE,39.0,SE,E,13.0,20.0,61.0,43.0,1020.6,1018.3,6.0,7.0,15.3,19.8,No,No
2007-12-19,Canberra,12.8,21.0,0.0,NE,22.0,NE,ENE,7.0,6.0,72.0,54.0,1018.0,1015.6,8.0,8.0,16.1,20.0,No,Yes
2007-12-20,Canberra,12.6,23.1,3.4,NNW,30.0,N,NW,4.0,13.0,97.0,74.0,1015.8,1014.1,8.0,7.0,15.3,20.4,Yes,Yes
2007-12-21,Canberra,14.8,29.5,6.4,N,41.0,NW,NW,6.0,22.0,81.0,48.0,1012.9,1008.3,2.0,7.0,21.0,28.2,Yes,Yes
2007-12-22,Canberra,19.9,22.0,11.0,NNW,76.0,N,WNW,41.0,30.0,92.0,62.0,996.5,996.8,8.0,3.0,20.6,19.6,Yes,Yes
2007-12-23,Canberra,9.2,20.4,17.4,ENE,39.0,N,N,9.0,20.0,59.0,49.0,1009.5,1009.1,1.0,7.0,14.9,18.8,Yes,No
2007-12-24,Canberra,12.4,24.4,0.0,NW,44.0,NNW,WNW,7.0,13.0,69.0,43.0,1012.8,1009.7,6.0,4.0,15.0,22.5,No,Yes
2007-12-25,Canberra,11.3,21.7,3.4,E,41.0,SE,NE,11.0,11.0,67.0,52.0,1020.4,1019.1,8.0,3.0,12.4,21.0,Yes,No
2007-12-26,Canberra,9.8,26.3,0.0,NNW,41.0,W,NNW,6.0,19.0,63.0,35.0,1023.2,1018.0,1.0,1.0,15.3,23.9,No,No
2007-12-27,Canberra,14.3,26.7,0.0,NNW,65.0,N,NNW,7.0,48.0,68.0,64.0,1017.3,1014.3,7.0,7.0,19.8,19.0,No,Yes
2007-12-28,Canberra,15.1,28.3,14.4,NNW,28.0,NNW,NW,6.0,13.0,73.0,44.0,1016.8,1013.4,1.0,5.0,18.3,27.4,Yes,No
2007-12-29,Canberra,14.4,31.6,0.0,NNW,30.0,NW,N,6.0,7.0,65.0,30.0,1017.1,1014.2,0.0,2.0,21.5,30.3,No,No
2007-12-30,Canberra,15.4,35.0,0.0,E,39.0,SSW,ESE,6.0,22.0,55.0,18.0,1017.4,1015.0,1.0,1.0,23.4,34.3,No,No
2007-12-31,Canberra,13.8,33.5,0.0,NE,31.0,SSE,NE,7.0,9.0,44.0,20.0,1019.2,1015.6,0.0,1.0,21.9,32.2,No,No
2008-01-01,Canberra,13.6,34.2,0.0,NNE,35.0,ESE,W,2.0,11.0,50.0,20.0,1015.8,1011.6,7.0,6.0,21.9,31.8,No,No
2008-01-02,Canberra,14.3,35.0,0.0,ESE,41.0,ESE,WSW,2.0,9.0,43.0,14.0,1012.6,1008.7,0.0,1.0,23.0,33.6,No,No
2008-01-03,Canberra,15.9,23.4,0.0,ESE,50.0,ESE,ESE,20.0,24.0,69.0,55.0,1016.8,1016.3,8.0,7.0,19.2,22.3,No,No
2008-01-04,Canberra,16.7,25.3,0.0,ESE,46.0,ESE,ESE,24.0,26.0,56.0,45.0,1016.2,1013.0,6.0,7.0,20.3,23.9,No,No
2008-01-05,Canberra,12.1,27.5,0.0,NE,35.0,SSE,E,7.0,15.0,69.0,40.0,1011.8,1007.4,7.0,2.0,18.6,26.8,No,No
2008-01-06,Canberra,14.3,34.1,0.0,ENE,39.0,W,NNW,6.0,19.0,77.0,34.0,1006.6,1003.3,1.0,1.0,18.9,31.9,No,No
2008-01-07,Canberra,16.5,33.9,0.0,ENE,39.0,E,NW,11.0,11.0,60.0,36.0,1012.3,1009.5,1.0,1.0,20.8,31.3,No,No
2008-01-08,Canberra,16.5,30.3,0.0,E,46.0,E,N,7.0,9.0,77.0,44.0,1015.7,1013.4,7.0,1.0,18.1,28.0,No,No
2008-01-09,Canberra,17.5,29.9,0.0,E,43.0,E,ENE,13.0,11.0,74.0,45.0,1018.5,1015.9,8.0,1.0,19.3,27.9,No,No
2008-01-10,Canberra,14.7,34.2,0.0,NE,33.0,WNW,NW,6.0,11.0,64.0,25.0,1017.8,1013.3,1.0,1.0,21.3,32.2,No,No
2008-01-11,Canberra,17.5,35.8,0.0,SSE,57.0,NNW,NW,6.0,19.0,56.0,24.0,1011.8,1006.5,0.0,1.0,24.7,34.5,No,No
2008-01-12,Canberra,20.9,35.7,0.0,SW,50.0,E,WNW,4.0,17.0,61.0,28.0,1007.6,1003.0,7.0,2.0,23.6,34.0,No,Yes
2008-01-13,Canberra,17.0,33.8,2.0,WNW,52.0,NNW,W,6.0,24.0,65.0,35.0,1004.0,1001.8,2.0,3.0,23.0,31.8,Yes,No
2008-01-14,Canberra,16.0,22.8,0.0,E,50.0,E,ENE,13.0,19.0,70.0,57.0,1012.3,1012.3,8.0,6.0,17.0,21.6,No,No
2008-01-15,Canberra,15.4,33.8,0.0,W,35.0,E,NW,7.0,15.0,70.0,26.0,1014.2,1009.0,7.0,1.0,18.0,31.7,No,No
2008-01-16,Canberra,17.9,33.2,0.0,N,59.0,N,NNE,15.0,20.0,58.0,62.0,1008.5,1006.1,6.0,7.0,24.5,23.5,No,Yes
2008-01-17,Canberra,15.2,25.1,4.8,E,46.0,ESE,ESE,20.0,28.0,62.0,42.0,1016.8,1015.0,1.0,1.0,17.1,23.9,Yes,No
2008-01-18,Canberra,15.1,20.4,0.0,ESE,39.0,ESE,ESE,17.0,19.0,63.0,55.0,1017.5,1015.8,8.0,8.0,17.8,19.4,No,Yes
2008-01-19,Canberra,15.3,19.6,18.8,NE,33.0,SSE,NNE,9.0,13.0,92.0,88.0,1008.7,1006.0,8.0,8.0,18.0,18.6,Yes,Yes
2008-01-20,Canberra,17.2,24.7,12.2,NW,50.0,NW,WNW,19.0,28.0,80.0,71.0,1004.9,1004.0,7.0,8.0,19.4,21.9,Yes,No
2008-01-21,Canberra,15.9,19.9,0.8,E,48.0,SSE,ESE,17.0,22.0,73.0,58.0,1011.4,1012.1,8.0,7.0,17.4,18.6,No,No
2008-01-22,Canberra,10.0,22.5,0.0,E,33.0,SE,S,11.0,7.0,55.0,46.0,1018.7,1016.8,1.0,2.0,14.7,22.2,No,No
2008-01-23,Canberra,9.9,24.4,0.0,NE,28.0,SE,E,7.0,7.0,60.0,38.0,1021.6,1019.2,1.0,4.0,16.2,22.7,No,No
2008-01-24,Canberra,10.3,27.8,0.0,ENE,35.0,SE,NE,6.0,11.0,64.0,29.0,1021.3,1018.1,3.0,6.0,17.0,26.3,No,No
2008-01-25,Canberra,15.4,25.7,0.0,E,41.0,E,NE,9.0,17.0,67.0,32.0,1020.1,1016.9,7.0,7.0,17.6,24.6,No,No
2008-01-26,Canberra,12.7,28.8,0.0,NNE,28.0,NW,SSW,4.0,7.0,70.0,28.0,1016.5,1012.4,1.0,5.0,18.3,28.3,No,No
2008-01-27,Canberra,13.2,31.3,0.0,WSW,46.0,N,WNW,4.0,26.0,71.0,28.0,1013.1,1009.5,1.0,4.0,19.7,30.7,No,No
2008-01-28,Canberra,15.3,33.2,0.0,NNW,44.0,NNE,NW,4.0,24.0,60.0,18.0,1013.9,1012.0,0.0,1.0,22.4,32.1,No,No
2008-01-29,Canberra,17.9,33.9,0.0,ENE,46.0,S,W,6.0,11.0,72.0,22.0,1017.4,1014.6,1.0,1.0,19.8,32.3,No,No
2008-01-30,Canberra,18.0,34.9,0.0,NW,69.0,N,W,6.0,13.0,68.0,29.0,1018.0,1013.7,1.0,6.0,22.2,33.1,No,Yes
2008-01-31,Canberra,17.6,27.8,5.2,ESE,39.0,N,NNW,13.0,13.0,66.0,49.0,1014.6,1012.8,7.0,8.0,21.4,26.3,Yes,Yes
2008-02-01,Sydney,19.5,22.4,15.6,W,34.5,S,SSW,17.0,20.0,92.0,84.0,1017.6,1017.4,8.0,8.0,20.7,20.9,Yes,Yes
2008-02-01,Canberra,16.0,23.8,2.2,SSE,30.0,SE,ESE,11.0,11.0,73.0,49.0,1018.9,1017.1,8.0,7.0,16.5,22.9,Yes,No
2008-02-02,Sydney,19.5,25.6,6.0,W,30.0,W,E,9.0,13.0,83.0,73.0,1017.9,1016.4,7.0,7.0,22.4,24.8,Yes,Yes
2008-02-02,Canberra,14.9,28.8,0.0,NNE,30.0,SSE,NNE,7.0,11.0,71.0,44.0,1018.2,1014.5,7.0,2.0,19.1,27.0,No,No
2008-02-03,Sydney,21.6,24.5,6.6,W,39.0,ESE,ESE,17.0,2.0,88.0,86.0,1016.7,1015.6,7.0,8.0,23.5,23.0,Yes,Yes
2008-02-03,Canberra,17.1,29.6,0.0,E,48.0,SE,ESE,9.0,17.0,67.0,38.0,1016.7,1012.8,6.0,7.0,21.7,29.1,No,Yes
2008-02-04,Sydney,20.2,22.8,18.8,W,40.5,NNE,E,22.0,20.0,83.0,90.0,1014.2,1011.8,8.0,8.0,21.4,20.9,Yes,Yes
2008-02-04,Canberra,18.2,22.6,1.8,ENE,33.0,SSE,ENE,7.0,13.0,92.0,76.0,1014.4,1011.5,8.0,8.0,18.5,22.1,Yes,Yes
2008-02-05,Sydney,19.7,25.7,77.4,W,31.5,NNE,W,11.0,6.0,88.0,74.0,1008.3,1004.8,8.0,8.0,22.5,25.5,Yes,Yes
2008-02-05,Canberra,16.8,22.8,9.0,ESE,30.0,S,SSE,7.0,11.0,88.0,71.0,1010.0,1007.8,8.0,8.0,18.4,21.5,Yes,No
2008-02-06,Sydney,20.2,27.2,1.6,W,41.0,W,ENE,9.0,22.0,69.0,62.0,1002.7,998.6,6.0,6.0,23.8,26.0,Yes,Yes
2008-02-06,Canberra,13.6,27.4,1.0,W,52.0,NW,WNW,6.0,24.0,77.0,41.0,1002.1,997.5,4.0,7.0,18.7,26.5,No,No
2008-02-07,Canberra,14.5,24.2,0.0,SSW,61.0,N,NNW,11.0,20.0,76.0,76.0,999.4,998.9,7.0,7.0,17.9,20.3,No,Yes
2008-02-07,Sydney,18.6,26.3,6.2,W,51.0,W,S,15.0,15.0,75.0,80.0,999.0,1000.3,4.0,7.0,21.7,22.3,Yes,Yes
2008-02-08,Canberra,12.4,19.9,16.2,ENE,41.0,ESE,ESE,7.0,20.0,75.0,58.0,1007.6,1005.0,7.0,7.0,13.6,18.7,Yes,No
2008-02-08,Sydney,17.2,22.3,27.6,W,38.333333333333336,S,SE,7.0,15.0,77.0,61.0,1008.3,1007.4,7.0,8.0,18.9,21.1,Yes,Yes
2008-02-09,Sydney,16.4,20.8,12.6,W,35.666666666666664,SSW,W,19.0,9.0,92.0,91.0,1006.4,1007.6,7.0,7.0,17.1,16.5,Yes,Yes
2008-02-09,Canberra,10.4,20.9,0.0,SSE,33.0,S,S,15.0,17.0,65.0,51.0,1007.7,1006.8,6.0,6.0,13.8,18.7,No,No
2008-02-10,Canberra,9.1,23.1,0.0,ENE,41.0,SSE,W,17.0,13.0,66.0,37.0,1013.6,1011.4,1.0,7.0,14.0,21.4,No,No
2008-02-10,Sydney,14.6,24.2,8.8,W,37.666666666666664,W,SSE,11.0,20.0,80.0,53.0,1014.0,1013.4,4.0,2.0,17.2,23.3,Yes,No
2008-02-11,Sydney,16.4,23.9,0.0,W,34.333333333333336,WNW,E,9.0,26.0,78.0,53.0,1017.6,1015.3,7.0,8.0,18.9,23.7,No,No
2008-02-11,Canberra,8.9,26.0,0.0,NE,31.0,SE,NE,7.0,13.0,74.0,34.0,1016.1,1011.7,1.0,5.0,14.6,24.2,No,Yes
2008-02-12,Canberra,14.5,24.2,4.4,W,48.0,NNW,WNW,9.0,17.0,95.0,60.0,1010.8,1006.8,8.0,5.0,15.8,22.6,Yes,Yes
2008-02-12,Sydney,18.9,27.3,0.0,W,39.0,N,NE,7.0,24.0,68.0,67.0,1010.7,1007.5,7.0,7.0,22.9,24.7,No,Yes
2008-02-13,Canberra,12.6,18.2,11.0,ENE,30.0,SSE,SSE,13.0,15.0,81.0,73.0,1010.0,1011.0,7.0,8.0,16.3,16.8,Yes,No
2008-02-13,Sydney,18.4,22.8,14.4,W,31.0,S,S,24.0,30.0,87.0,70.0,1009.2,1011.7,8.0,7.0,20.9,21.0,Yes,Yes
2008-02-14,Sydney,16.9,24.3,3.0,W,32.0,SSW,SSE,15.0,19.0,81.0,51.0,1017.2,1016.5,7.0,1.0,18.4,23.3,Yes,No
2008-02-14,Canberra,8.6,24.2,0.2,E,33.0,S,SE,11.0,9.0,63.0,37.0,1017.5,1015.1,1.0,1.0,13.7,22.0,No,No
2008-02-15,Sydney,18.3,24.4,0.0,W,34.0,SW,SSE,19.0,22.0,80.0,56.0,1020.2,1018.9,7.0,3.0,19.5,23.8,No,No
2008-02-15,Canberra,10.8,25.2,0.0,ENE,35.0,SE,E,7.0,7.0,69.0,32.0,1020.2,1016.7,1.0,1.0,15.0,24.3,No,No
2008-02-16,Canberra,11.2,26.1,0.0,ENE,39.0,SE,E,7.0,19.0,71.0,40.0,1022.9,1020.0,1.0,1.0,15.3,24.7,No,No
2008-02-16,Sydney,16.7,24.1,0.0,W,41.333333333333336,WNW,SSE,11.0,26.0,77.0,52.0,1023.0,1022.6,7.0,6.0,19.8,23.3,No,No
2008-02-17,Sydney,19.5,24.8,0.0,W,43.666666666666664,SE,ESE,13.0,24.0,63.0,62.0,1024.7,1023.1,7.0,7.0,21.8,23.4,No,No
2008-02-17,Canberra,12.1,24.1,0.0,ENE,46.0,ESE,NNE,9.0,13.0,64.0,46.0,1025.2,1021.4,7.0,1.0,15.4,22.5,No,No
2008-02-18,Sydney,18.6,25.3,0.0,W,38.5,SSE,ENE,13.0,24.0,70.0,59.0,1021.7,1019.4,7.0,6.0,21.2,23.8,No,No
2008-02-18,Canberra,10.8,25.8,0.0,E,31.0,S,NNE,7.0,11.0,72.0,42.0,1021.3,1017.4,5.0,4.0,17.2,24.1,No,No
2008-02-19,Canberra,11.4,27.1,0.0,NE,33.0,ESE,SE,6.0,15.0,69.0,38.0,1017.6,1012.8,1.0,2.0,16.9,26.1,No,No
2008-02-19,Sydney,19.0,24.8,0.0,W,35.0,WNW,E,7.0,17.0,79.0,65.0,1018.0,1015.4,7.0,7.0,20.8,23.4,No,No
2008-02-20,Sydney,18.3,26.4,0.0,W,37.0,W,E,13.0,22.0,80.0,60.0,1013.4,1010.8,3.0,1.0,21.3,25.2,No,No
2008-02-20,Canberra,12.0,28.9,0.0,ESE,39.0,SSE,WNW,2.0,9.0,78.0,31.0,1012.2,1009.1,2.0,7.0,17.4,28.6,No,Yes
2008-02-21,Sydney,20.6,26.8,0.0,W,44.5,WNW,SE,4.0,15.0,86.0,62.0,1011.4,1009.7,7.0,7.0,22.1,24.9,No,No
2008-02-21,Canberra,16.3,24.8,1.8,S,50.0,NNW,N,4.0,7.0,88.0,56.0,1011.8,1008.4,7.0,7.0,17.5,24.0,Yes,Yes
2008-02-22,Sydney,19.1,25.4,0.4,W,50.0,WNW,E,11.0,28.0,77.0,66.0,1009.2,1003.1,4.0,1.0,22.3,24.9,No,No
2008-02-22,Canberra,12.7,28.6,6.6,W,50.0,N,W,15.5,28.0,78.0,42.0,1008.3,1002.3,5.0,5.0,16.5,27.4,Yes,No
2008-02-23,Canberra,12.7,25.1,0.0,NW,46.0,WNW,WNW,20.0,26.0,57.0,32.0,1007.4,1005.4,1.0,1.0,15.7,24.5,No,No
2008-02-23,Sydney,20.5,26.0,0.0,W,45.0,WSW,ESE,20.0,24.0,38.0,45.0,1007.4,1007.0,1.0,1.0,22.5,24.0,No,No
2008-02-24,Canberra,12.0,23.8,0.0,NW,44.0,NW,WNW,15.0,30.0,54.0,34.0,1007.9,1007.2,0.0,1.0,15.1,22.9,No,No
2008-02-24,Sydney,16.5,28.3,0.0,W,44.0,WNW,ESE,11.0,24.0,48.0,40.0,1007.9,1008.0,0.0,0.0,21.2,26.1,No,No
2008-02-25,Canberra,11.5,25.9,0.0,ENE,44.0,ENE,WSW,9.0,7.0,70.0,35.0,1016.4,1014.3,6.0,2.0,15.8,24.3,No,No
2008-02-25,Sydney,20.5,24.2,0.0,W,44.0,E,E,15.0,20.0,58.0,54.0,1017.5,1016.9,7.0,7.0,21.6,23.5,No,No
2008-02-26,Sydney,19.3,26.2,0.0,W,44.0,WSW,E,2.0,28.0,73.0,65.0,1018.3,1015.6,1.0,6.0,23.0,25.8,No,Yes
2008-02-26,Canberra,13.0,28.2,0.0,NW,44.0,WSW,NW,4.0,17.0,74.0,27.0,1017.6,1014.4,3.0,6.0,17.4,27.0,No,No
2008-02-27,Sydney,19.0,29.0,22.2,W,46.0,N,NNE,0.0,15.0,82.0,52.0,1014.1,1010.6,7.0,7.0,21.3,24.7,Yes,Yes
2008-02-27,Canberra,11.7,27.6,0.0,W,48.0,N,W,10.0,30.0,74.0,25.0,1013.6,1009.1,2.0,6.0,17.6,26.8,No,No
2008-02-28,Sydney,17.9,21.4,4.2,W,48.0,S,ESE,20.0,9.0,77.0,88.0,1010.0,1010.1,8.0,8.0,20.4,19.2,Yes,Yes
2008-02-28,Canberra,14.8,17.3,0.0,SSE,48.0,S,SE,13.0,13.0,74.0,78.0,1010.0,1009.9,7.0,7.0,15.7,15.3,No,Yes
2008-02-29,Sydney,14.7,20.6,33.0,W,48.0,SW,S,24.0,28.0,65.0,51.0,1015.3,1015.6,5.0,3.0,17.1,19.9,Yes,No
2008-02-29,Canberra,7.7,18.4,10.4,S,48.0,S,S,24.0,17.0,58.0,34.0,1015.5,1014.5,5.0,1.0,10.6,16.8,Yes,No
2008-03-01,Canberra,4.4,21.8,0.0,S,35.0,SSE,SSE,15.0,15.0,60.0,31.0,1020.8,1019.3,1.0,1.0,11.7,20.0,No,No
2008-03-01,Sydney,12.8,22.0,0.2,W,35.0,W,SSE,19.0,31.0,55.0,46.0,1020.9,1020.6,0.0,1.0,15.9,21.2,No,Yes
2008-03-02,Sydney,14.2,23.4,5.4,W,35.0,W,SE,13.0,17.0,93.0,54.0,1026.2,1025.2,7.0,2.0,15.1,22.4,Yes,No
2008-03-02,Canberra,7.4,24.4,0.0,E,35.0,ESE,WNW,7.0,11.0,65.0,37.0,1026.3,1023.2,0.0,2.0,12.2,22.1,No,No
2008-03-03,Sydney,15.0,23.1,0.2,W,35.0,W,ENE,15.0,19.0,78.0,57.0,1025.8,1022.5,1.0,1.0,18.2,22.5,No,No
2008-03-03,Canberra,8.3,27.3,0.0,E,35.0,ESE,WNW,6.0,9.0,78.0,28.0,1025.4,1020.4,1.0,1.0,13.8,25.5,No,No
2008-03-04,Sydney,15.5,25.4,0.0,W,37.0,WNW,E,9.0,19.0,77.0,57.0,1020.5,1018.6,0.0,2.0,18.7,23.8,No,No
2008-03-04,Canberra,10.1,28.2,0.0,ESE,39.0,SSE,WNW,6.0,7.0,72.0,28.0,1021.1,1018.2,1.0,7.0,15.6,27.0,No,No
2008-03-05,Sydney,18.7,25.8,0.0,W,42.5,S,ESE,19.0,22.0,72.0,64.0,1024.8,1024.2,6.0,3.0,22.6,24.1,No,No
2008-03-05,Canberra,12.0,27.6,0.0,E,46.0,SSE,WSW,7.0,6.0,69.0,35.0,1025.5,1022.2,1.0,1.0,15.7,26.2,No,No
2008-03-06,Canberra,12.9,31.8,0.0,WSW,41.0,NNW,NNE,6.0,9.0,76.0,24.0,1023.9,1019.3,2.0,3.0,17.4,30.0,No,No
2008-03-06,Sydney,19.6,26.0,0.0,W,44.0,N,ENE,11.0,19.0,67.0,65.0,1024.2,1019.8,1.0,1.0,22.1,24.7,No,No
